Student,Assigned_Subject,Chosen_Choice,Number_of_Students
Student2,Mathematics,Choice2,
Student8,Physics,Choice2,
Student12,Physics,Choice2,
Student14,Physics,Choice2,
Student48,Physics,Choice2,
Student17,Physics,Choice4,
Student19,Mathematics,Choice6,
Student21,Mathematics,Choice2,
Student25,Physics,Choice3,
Student39,Mathematics,Choice2,
Student44,Mathematics,Choice9,
Student9,Mathematics,Choice2,
Student16,Physics,Choice4,
Student30,Mathematics,Choice9,
Student41,Physics,Choice4,
Student52,Mathematics,Choice6,
Student22,Mathematics,Choice3,
Student27,Mathematics,Choice9,
Student31,Physics,Choice4,
Student38,Mathematics,Choice9,
Student45,Physics,Choice4,
Student50,Mathematics,Choice2,
Student51,Mathematics,Choice3,
Student23,Physics,Choice5,
Student28,Physics,Choice4,
Student33,Mathematics,Choice9,
Student36,Physics,Choice2,
Student46,Mathematics,Choice9,
Student26,Physics,Choice4,
Student29,Physics,Choice2,
Student34,Physics,Choice3,
Student40,Mathematics,Choice3,
Student43,Mathematics,Choice9,
Student49,Physics,Choice4,
Student1,Mathematics,Choice1,
Student3,Physics,Choice1,
Student4,Mathematics,Choice1,
Student5,Physics,Choice1,
Student6,Mathematics,Choice1,
Student7,Physics,Choice1,
Student10,Physics,Choice1,
Student11,Mathematics,Choice1,
Student13,Physics,Choice1,
Student15,Mathematics,Choice1,
Student18,Mathematics,Choice1,
Student20,Physics,Choice1,
Student24,Physics,Choice1,
Student32,Physics,Choice1,
Student35,Mathematics,Choice1,
Student37,Mathematics,Choice1,
Student42,Physics,Choice1,
Student47,Physics,Choice1,
,Mathematics,,25.0
,Physics,,27.0
